MesAnoEstado;IQA;area há;PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr))
202211AC;43.73604;32.06071138916015;1000;15;98.0;200.0
202211AC;43.73604;2004.3457439209;1000;15;98.0;200.0
202211AC;43.73604;0.528358068847656;1000;15;98.0;200.0
202211AC;43.73604;3.42895758056641;1000;15;98.0;200.0
202211AC;43.73604;5929.26770351563;1000;15;98.0;200.0
202211AC;43.73604;32.06071138916015;1000,1;16,3;94.0;232.0
202211AC;43.73604;2004.3457439209;1000,1;16,3;94.0;232.0
202211AC;43.73604;0.528358068847656;1000,1;16,3;94.0;232.0
202211AC;43.73604;3.42895758056641;1000,1;16,3;94.0;232.0
202211AC;43.73604;5929.26770351563;1000,1;16,3;94.0;232.0
202211AC;43.73604;32.06071138916015;999,4;17,1;89.0;201.0
202211AC;43.73604;2004.3457439209;999,4;17,1;89.0;201.0
202211AC;43.73604;0.528358068847656;999,4;17,1;89.0;201.0
202211AC;43.73604;3.42895758056641;999,4;17,1;89.0;201.0
202211AC;43.73604;5929.26770351563;999,4;17,1;89.0;201.0
202211AC;43.73604;32.06071138916015;998,6;18,6;83.0;214.0
202211AC;43.73604;2004.3457439209;998,6;18,6;83.0;214.0
202211AC;43.73604;0.528358068847656;998,6;18,6;83.0;214.0
202211AC;43.73604;3.42895758056641;998,6;18,6;83.0;214.0
202211AC;43.73604;5929.26770351563;998,6;18,6;83.0;214.0
202211AC;43.73604;32.06071138916015;997,7;19,1;77.0;216.0
202211AC;43.73604;2004.3457439209;997,7;19,1;77.0;216.0
202211AC;43.73604;0.528358068847656;997,7;19,1;77.0;216.0
202211AC;43.73604;3.42895758056641;997,7;19,1;77.0;216.0
202211AC;43.73604;5929.26770351563;997,7;19,1;77.0;216.0
202211AC;43.73604;32.06071138916015;997,1;19,6;69.0;203.0
202211AC;43.73604;2004.3457439209;997,1;19,6;69.0;203.0
202211AC;43.73604;0.528358068847656;997,1;19,6;69.0;203.0
202211AC;43.73604;3.42895758056641;997,1;19,6;69.0;203.0
202211AC;43.73604;5929.26770351563;997,1;19,6;69.0;203.0
202211AC;43.73604;32.06071138916015;996,6;19,4;70.0;218.0
202211AC;43.73604;2004.3457439209;996,6;19,4;70.0;218.0
202211AC;43.73604;0.528358068847656;996,6;19,4;70.0;218.0
202211AC;43.73604;3.42895758056641;996,6;19,4;70.0;218.0
202211AC;43.73604;5929.26770351563;996,6;19,4;70.0;218.0
202211AC;43.73604;32.06071138916015;996,4;19,1;73.0;222.0
202211AC;43.73604;2004.3457439209;996,4;19,1;73.0;222.0
202211AC;43.73604;0.528358068847656;996,4;19,1;73.0;222.0
202211AC;43.73604;3.42895758056641;996,4;19,1;73.0;222.0
